Name,Year
Bustin' Loose,1981
Playing with Fire,2019
There Was a Crooked Man...,1970
Last Christmas,2019
Let's Scare Jessica to Death,1971
Abbott and Costello Meet Frankenstein,1948
The Klansman,1974
Raggedy Man,1981
Standing Up for Sunny,2019
Love Story,1970
Scorpio,1973
Kindred Spirits,2019
Charlotte's Web,2006
"Honey, I Shrunk the Kids",1989
Ride 'Em Cowboy,1942
I'm Not There,2007
"Oh, God! Book II",1980
Step Up China,2019
Jack and the Beanstalk,1952
Bottled Up: The Battle Over Dublin Dr Pepper,2013
Best Men,1997
Koko: A Red Dog Story,2019
House of Dark Shadows,1970
The Sheltering Sky,1990
Abbott and Costello Go to Mars,1953
Revenge of the Nerds II: Nerds in Paradise,1987
A Walk in the Spring Rain,1970
Vice Academy Part 2,1990
Disney's Newsies: The Broadway Musical!,2017
Medal of Victory,2016
Follow That Bird,1985
The Good Liar,2019
Snow White and the Three Stooges,1961
Eye for an Eye,2019
Rocket Hunter,2020
The Hollywood Knights,1980
The Nomads,2019
Waves,2019
Nobody's Perfekt,1981
Terminator: Dark Fate,2019
Santa Claus Is Comin' to Town,1970
The Wings of Eagles,1957
Space Babes from Outer Space,2017
Flimsy Company,2018
Through Black Spruce,2018
The Warriors,1979
Pufnstuf,1970
Inside Moves,1980
The Divide,2018
Repo! The Genetic Opera,2008
Montparnasse Bienvenüe,2017
Break,2019
Bait,2019
Anthropocene: The Human Epoch,2018
The Sun Is Also a Star,2019
Cows,1992
Heritage,2019
The Nude Bomb,1980
Curious George: Royal Monkey,2019
Yakuza Apocalypse,2015
Return to Macon County,1975
Address Unknown,1944
Escape in the Fog,1945
The Man Called Flintstone,1966
The Killer That Stalked New York,1950
The Guilt of Janet Ames,1947
Cimarron,1960
Johnny Allegro,1949
Cold Sweat,1970
The Solid Gold Cadillac,1956
When Worlds Collide,1951
Cold Comfort Farm,1995
The Revenge of Frankenstein,1958
Storming Juno,2010
Alice Doesn't Live Here Anymore,1974
Flesh Gordon,1974
Joker,2019
Nightmare in Badham County,1976
The Big Trip,2019
Grave of the Vampire,1972
The Last Full Measure,2019
Legend of the Witches,1970
The Black Cauldron,1985
Take Me High,1973
The Bad News Bears,1976
Holy Hell,2015
The Notorious Landlady,1962
Battletruck,1982
Suicide Kings,1997
Dreamworks Spooky Stories,2012
The Parallax View,1974
Salton Sea,2018
I Love You Both,2016
Trauma Center,2019
The Halfway House,1944
Little Savages,2016
The Hole,2001
Best Men,1997
Koko: A Red Dog Story,2019
House of Dark Shadows,1970
The Last Tree,2019
Fools Rush In,1997
It Watches,2016
Burglar,1987
Johnny Dangerously,1984
Alive,1993
The Knight of Shadows: Between Yin and Yang,2019
Linda Ronstadt: The Sound of My Voice,2019
Ernest Saves Christmas,1988
Hot Moves,1984
Good Posture,2019
Ford v Ferrari,2019
Get Gone,2019
Vice Academy,1989
The Krays Mad Axeman,2019
In Search of Darkness,2019
Ricochet,2011
McHale's Navy,1997
In a Year with 13 Moons,1978
The Swap,2016
The Sun Is Also a Star,2019
Cows,1992
Heritage,2019
The Nude Bomb,1980
Curious George: Royal Monkey,2019
Yakuza Apocalypse,2015
Cop & ½,1993
The Holy Mountain,1973
In Search of the Last Action Heroes,2019
Platoon Leader,1988
Frankie and Johnny,1991
The Russian Five,2018
The Annunciation,2018
Naked Lunch,1991
The Perfect Weapon,1991
The Two Faces of Dr. Jekyll,1960
The Trench,1999
The Three Exclamation Marks,2019
Rare Exports,2010
Bottled with Love,2019
Holiday,1930
Black Mask,1996
Homeward Bound: The Incredible Journey,1993
"It's the Great Pumpkin, Charlie Brown",1966
Listening,2014
Airplane!,1980
Something's Gotta Give,2003
Gonzo: The Life and Work of Dr. Hunter S. Thompson,2008
Top Secret!,1984
Lone Star,1996
"The Gangster, the Cop, the Devil",2019
Speed of Life,2019
Inherit the Viper,2019
Tell It to the Bees,2018
The Sonata,2018
Rise of the Footsoldier: Marbella,2019
Above & Beyond Acoustic - Giving Up The Day Job,2018
Frankie,2019
Pain and Glory,2019
The Assent,2019
Sprinter,2018
House of Demons,2018
Maleficent: Mistress of Evil,2019
The Host,2020
A Patient Man,2019
The Big Mouth,1967
Undercover Hooligan,2016
Iceman,1984
A Dog Called Money,2019
Harriet,2019
Motherless Brooklyn,2019
Medicine Man,1992
Ernesto's Manifesto,2019
Piranha,1978
The Hobbit,1977
Home with a View of the Monster,2019
Sorry We Missed You,2019
Sällskapsresan eller Finns det svenskt kaffe på grisfesten,1980
2050,2018
Holiday,1938
A Dash of Love,2017
L'Atalante,1934
Ginger Snaps Back: The Beginning,2004
The Swan Princess: Kingdom of Music,2019
The Host,2006
I Want to Eat Your Pancreas,2018
Monster on the Campus,1958
The Deadbeats,2019
The Wild Boys,2017
How Long Will I Love U,2018
The Courier,2019
Corporate Animals,2019
Inmate Zero,2019
Holiday,1930
Black Mask,1996
Homeward Bound: The Incredible Journey,1993
"It's the Great Pumpkin, Charlie Brown",1966
Listening,2014
Airplane!,1980
Something's Gotta Give,2003
Nurse Betty,2000
Mine 9,2019
Line of Duty,2019
Fortress,1992
Panic in Year Zero,1962
Things to Come,2016
Eroica,1958
Book of Monsters,2018
Jexi,2019
Peter Kay: The Tour That Didn't Tour Tour,2011
Lethal Seduction,2015
The Police Connection,1973
Wolf Guy,1975
V,1983
The Sublet,2015
Svaha: The Sixth Finger,2019
Gemini Man,2019
Kill Chain,2019
The Shed,2019
800 Bullets,2002
Piranha,1978
The Hobbit,1977
Home with a View of the Monster,2019
Sorry We Missed You,2019
Sällskapsresan eller Finns det svenskt kaffe på grisfesten,1980
2050,2018
Holiday,1938
Zero for Conduct,1933
Polityka,2019
A Serial Killer's Guide to Life,2019
Anuvahood,2011
Seance on a Wet Afternoon,1964
Cottonpickin' Chickenpickers,1967
A Faithful Man,2018
Waitress,2007
Fright,1971
Blood Widow,2020
Grand Theft Auto Girls,2020
Angels Fallen,2020
World Gone Wild,1987
Jay and Silent Bob Reboot,2019
The Addams Family,2019
Renegades,1989
Ginger Snaps 2: Unleashed,2004
Clubbed,2008
A Fancy Piece of Homicide,2017
Vicious Lips,1986
They Live by Night,1948
Six Days of Sistine,2019
Bulletproof 2,2020
A Jungle Book of Regulations,1974
Lake Artifact,2019
The Bet,2020
The Mercenary,2019
Inner Ghosts,2018
Ride Like a Girl,2019
Where We Disappear,2019
Chief Crazy Horse,1955
Bloodhound,2020
Premature,2019
Alice,1990
Destroy All Monsters,1968
Iceman,2017
Girlhood,2014
Blood Mania,1970
The House in Nightmare Park,1973
Avenging Angel,1985
Scream for Help,1984
Deli Man,2014
Angel III: The Final Chapter,1988
The App,2019
The Wind Will Carry Us,1999
How to Get Ahead in Advertising,1989
The Myth,2005
Rescue Dogs,2016
The Lucky Ones,2008
No One Lives,2012
Battle of the Warriors,2006
The Last Survivors,2014
Killer Camera Monsters,2020
K-12,2019
Up and Away,2018
Psych: The Movie,2017
The Secret of Kells,2009
Team America: World Police,2004
Redbad,2018
A Cinderella Story: Christmas Wish,2019
Wolf Children,2012
The Battle of Jangsari,2019
Flow: For Love of Water,2008
Disturbing the Peace,2020
24 Little Hours,2020
Tonight's the Night,1954
Intrigo: Death of an Author,2018
Float Like a Butterfly,2018
Alone,2020
When Boys Leave Home,1927
Epiphany,2019
37-Teen,2019
Gog,1954
Snatchers,2019
Alien Domicile 2: Lot 24,2018
Acceleration,2019
Zoo,2018
Warn That Man,1943
"Ebirah, Horror of the Deep",1966
Son of Godzilla,1967
Suburbia,1983
Animals,2019
Abigail,2019
Alice,1990
Destroy All Monsters,1968
Iceman,2017
Girlhood,2014
Blood Mania,1970
The House in Nightmare Park,1973
Avenging Angel,1985
Scream for Help,1984
Deli Man,2014
Angel III: The Final Chapter,1988
Noce i dnie,1975
Lourdes,2019
A Single Girl,1995
Stalked,2019
The Hole,2009
Mobile Suit Gundam: The Origin VI - Rise of the Red Comet,2018
Shifty,2008
Sleepwalk with Me,2012
At Home,2015
Tromeo and Juliet,1996
Harlequin,1980
Chain of Death,2019
Two Evil Eyes,1990
The Counterfeiters,2007
Stalag 17,1953
The Empire of Corpses,2015
Samba,2014
Schoolgirls in Chains,1973
Mutiny on the Bounty,1962
Private Lessons,1981
Mimosas,2016
Where Love Found Me,2016
Yuli,2018
Funan,2018
What Have We Done to Deserve This?,2018
Holiday,2018
Bully,2018
Germany in Autumn,1978
Crown Vic,2019
The Hunchback of Notre Dame,1923
The Naked Wanderer,2019
Depraved,2019
Prophecy,1979
Who Killed Teddy Bear,1965
"Co mi zrobisz, jak mnie zlapiesz",1978
The Story of Temple Drake,1933
Brunet wieczorowa pora,1976
Nie lubie poniedzialku,1971
Goats,2012
Money Talks,1932
